epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2330.58,1.59951,1.26818,1.42022,0.71499,0.63453,0.68514,0.38584,1.60045,1.18145,1.44824,0.000197992,0.000197992,0.000197992
75,2361.95,1.59246,1.2719,1.42056,0.72631,0.66053,0.71062,0.40155,1.59068,1.11988,1.43913,0.000190924,0.000190924,0.000190924
76,2393.27,1.58552,1.27724,1.42667,0.77925,0.65452,0.70948,0.40237,1.58049,1.15192,1.43858,0.000183855,0.000183855,0.000183855
77,2424.81,1.55557,1.23024,1.38844,0.74258,0.65054,0.70102,0.39772,1.60686,1.12747,1.45558,0.000176786,0.000176786,0.000176786
78,2456.5,1.56516,1.24015,1.40399,0.66743,0.68378,0.70806,0.40591,1.57293,1.13281,1.4414,0.000169718,0.000169718,0.000169718
79,2487.95,1.5682,1.22181,1.39455,0.69072,0.68042,0.71129,0.4066,1.58034,1.15491,1.44079,0.000162649,0.000162649,0.000162649
80,2519.35,1.60607,1.26784,1.44854,0.69371,0.65985,0.68466,0.39268,1.60809,1.13694,1.46001,0.000155581,0.000155581,0.000155581
81,2550.82,1.53801,1.26839,1.423,0.72028,0.66315,0.69862,0.40125,1.55321,1.13748,1.4298,0.000148512,0.000148512,0.000148512
82,2582.31,1.53933,1.20555,1.39373,0.72745,0.66998,0.70621,0.40915,1.55556,1.12288,1.42639,0.000141443,0.000141443,0.000141443
83,2613.85,1.52582,1.17921,1.38288,0.7068,0.68765,0.71488,0.41371,1.56202,1.09155,1.42666,0.000134375,0.000134375,0.000134375
84,2645.62,1.53506,1.20854,1.37638,0.74156,0.65642,0.72551,0.41379,1.56489,1.10082,1.42813,0.000127306,0.000127306,0.000127306
85,2676.95,1.60647,1.25476,1.44069,0.69172,0.70658,0.71358,0.40537,1.57554,1.10285,1.43467,0.000120238,0.000120238,0.000120238
86,2708.6,1.51814,1.18656,1.36799,0.75833,0.67471,0.73409,0.41737,1.55999,1.08768,1.42507,0.000113169,0.000113169,0.000113169
87,2739.97,1.52637,1.21099,1.39719,0.756,0.64022,0.71741,0.41248,1.54665,1.09924,1.42394,0.0001061,0.0001061,0.0001061
88,2771.58,1.54291,1.20534,1.37685,0.82902,0.62336,0.73825,0.41893,1.53776,1.09703,1.41302,9.90318e-05,9.90318e-05,9.90318e-05
89,2802.83,1.52005,1.22395,1.41547,0.75461,0.65325,0.73331,0.42604,1.52811,1.08957,1.41055,9.19632e-05,9.19632e-05,9.19632e-05
90,2834.32,1.54048,1.22055,1.39204,0.76439,0.64556,0.73467,0.42553,1.54401,1.09411,1.41502,8.48946e-05,8.48946e-05,8.48946e-05
91,2898.68,1.48451,1.29471,1.40853,0.69253,0.68524,0.70099,0.3966,1.58763,1.19027,1.44431,7.7826e-05,7.7826e-05,7.7826e-05
92,2929.72,1.45766,1.23438,1.39717,0.71803,0.65912,0.7,0.39459,1.58344,1.15061,1.43966,7.07574e-05,7.07574e-05,7.07574e-05
93,2960.99,1.48725,1.25842,1.42544,0.73587,0.66692,0.69505,0.39181,1.59133,1.14629,1.4458,6.36888e-05,6.36888e-05,6.36888e-05
94,2992.05,1.46009,1.22867,1.4193,0.73625,0.67652,0.70099,0.3934,1.59022,1.14162,1.44516,5.66202e-05,5.66202e-05,5.66202e-05
95,3023.3,1.44259,1.17789,1.41913,0.72937,0.66388,0.70277,0.39732,1.58097,1.11031,1.4373,4.95516e-05,4.95516e-05,4.95516e-05
96,3054.87,1.46472,1.22774,1.40634,0.72428,0.67652,0.70541,0.39757,1.58899,1.12406,1.44157,4.2483e-05,4.2483e-05,4.2483e-05
97,3086.24,1.4551,1.18695,1.39477,0.72585,0.68279,0.70649,0.40027,1.58427,1.11786,1.44005,3.54144e-05,3.54144e-05,3.54144e-05
98,3117.91,1.41347,1.14067,1.38489,0.73521,0.67801,0.70804,0.40023,1.57768,1.12706,1.43746,2.83458e-05,2.83458e-05,2.83458e-05
99,3149.26,1.43937,1.18871,1.38176,0.74319,0.67536,0.71258,0.40557,1.56262,1.12449,1.42742,2.12772e-05,2.12772e-05,2.12772e-05
100,3180.51,1.44576,1.18893,1.40422,0.7313,0.67755,0.71019,0.40427,1.55971,1.11456,1.4271,1.42086e-05,1.42086e-05,1.42086e-05
